Conference Acronym	Year	Conference Name	City	Country	ResearchArea
CDPD	2023	The 2023 ACM SIGKDD Workshop on Causal Discovery, Prediction and Decision	Long Beach	 USA	ML
ICDSBA	2023	7th International Conference on Data Science and Business Analytics	Changsha	 China	ML
QDB	2023	12th International Workshop on Quality in Databases (QDBâ23) @ VLDB 2023	Vancouver	 Canada	ML
Civo Navigate EU	2023	Civo Navigate Europe 2023	London	 United Kingdom	ML
SOPCA	2023	Symposium on Parallel Computing and Applications	ARIEL	 ISRAEL	ML
FL4Data-Mining@KDD	2023	International Workshop on Federated Learning for Distributed Data Mining @ ACM SIGKDD	Long Beach	 California	ML
WACIIS	2023	Workshop on Applications of Computational Intelligence and Interactive Systems	Jaipur	 India	ML
AIC	2023	2023 IEEE World Conference on Applied Intelligence and Computing	Varanasi	 India	ML
AITA	2023	International Conference on Artificial Intelligence: Theory and Applications	Bangalore	 India	ML
KLR	2023	ICML Workshop on Knowledge and Logical Reasoning in the Era of Data-driven Learning	Honolulu	 USA	ML
AI4Cyber	2023	The 3rd Workshop on Artificial Intelligence-enabled Cybersecurity Analytics	Long Beach	 CA	ML
DMLR	2023	ICML Workshop on Data-Centric Machine Learning Research	Honolulu	 USA	ML
